,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,,0.642857143,0.538461538,0.5,0.412698413,0.321428571,0.4,0.380952381,0.321428571,0.471428571,0.5,0.077922078,0.228571429,0.114285714,0.178571429,0.071428571,0.172932331
2,0.517857143,,0.230769231,0.05,0.319444444,0.3125,0.35,0.302083333,0.109375,0.175,0.1125,0.215909091,0.275,0.125,0.208333333,0.020833333,0.144736842
3,0.351648352,0.125,,0.030769231,0.179487179,0.038461538,0.123076923,0.314102564,0.076923077,0.176923077,0.107692308,0.062937063,0,0.007692308,0.032051282,0.070512821,0.093117409
4,0.6,0.2875,0.330769231,,0.522222222,0.225,0.46,0.341666667,0.35,0.35,0.34,0.327272727,0.46,0.15,0.2,0.2,0.110526316
5,0.666666667,0.416666667,0.452991453,0.611111111,,0.222222222,0.266666667,0.388888889,0.222222222,0.233333333,0.422222222,0.191919192,0.288888889,0.166666667,0.185185185,0.296296296,0.076023392
6,0.357142857,0.4375,0.307692308,0.15,0.194444444,,0.175,0.145833333,0.34375,0.1375,0.375,0.227272727,0.275,0.2125,0.1875,0.010416667,0.065789474
7,0.285714286,0.325,0.138461538,0.24,0.022222222,0.475,,0.466666667,0.675,0.2,0.34,0.436363636,0.68,0.02,0.216666667,0.016666667,0.126315789
8,0.5,0.34375,0.192307692,0.15,0.333333333,0.28125,0.466666667,,0.541666667,0.533333333,0.491666667,0.363636364,0.316666667,0.283333333,0.388888889,0.125,0.109649123
9,0.5,0.453125,0.125,0.3875,0.25,0.640625,0.8,0.760416667,,0.35,0.55,0.727272727,0.325,0.2,0.40625,0.020833333,0.217105263
10,0.614285714,0.4,0.346153846,0.32,0.4,0.225,0.3,0.416666667,0.4,,0.34,0.109090909,0.2,0.15,0.116666667,0.283333333,0.257894737
11,0.557142857,0.3125,0.430769231,0.37,0.344444444,0.4375,0.38,0.433333333,0.5875,0.26,,0.345454545,0.32,0.23,0.391666667,0.166666667,0.047368421
12,0.116883117,0.397727273,0.160839161,0.154545455,0.070707071,0.375,0.563636364,0.46969697,0.761363636,0.1,0.363636364,,0.4,0.327272727,0.363636364,0.113636364,0.157894737
13,0.571428571,0.475,0.246153846,0.2,0.288888889,0.7,0.76,0.416666667,0.6,0.24,0.64,0.472727273,,0.52,0.383333333,0.266666667,0.452631579
14,0.5,0.425,0.1,0.09,0.077777778,0.225,0.1,0.383333333,0.1375,0.27,0.25,0.272727273,0.48,,0.225,0.241666667,0.221052632
15,0.428571429,0.479166667,0.153846154,0.091666667,0.101851852,0.458333333,0.033333333,0.361111111,0.145833333,0.283333333,0.35,0.212121212,0.266666667,0.225,,0.333333333,0.346491228
16,0.369047619,0.229166667,0.288461538,0.241666667,0.444444444,0.375,0.133333333,0.423611111,0.291666667,0.475,0.358333333,0.272727273,0.3,0.275,0.326388889,,0.263157895
17,0.563909774,0.480263158,0.275303644,0.289473684,0.269005848,0.552631579,0.473684211,0.48245614,0.539473684,0.426315789,0.463157895,0.368421053,0.463157895,0.352631579,0.49122807,0.381578947,
