"text_code","class_name","teacher_name",category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,text_length,"language","create_time"
"107-1_00250010_31","健康體適能","蔡秀華",0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,"CH","2020-05-12 23:39:13"
"107-1_00250010_33","健康體適能","蔡秀華",0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,"CH","2020-05-12 23:39:13"
"107-1_00250010_34","健康體適能","楊裕隆",0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,"CH","2020-05-12 23:39:13"
"107-1_00250010_36","健康體適能","楊裕隆",0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,"CH","2020-05-12 23:39:13"
"107-1_00250010_42","健康體適能","呂碧琴",0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,145,"CH","2020-05-12 23:39:13"
"107-1_00250010_44","健康體適能","呂碧琴",0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,143,"CH","2020-05-12 23:39:13"
"107-1_00250010_45","健康體適能","連玉輝",4.0,2.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,136,"CH","2020-05-12 23:39:13"
"107-1_00250010_46","健康體適能","連玉輝",4.0,2.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,136,"CH","2020-05-12 23:39:13"
"107-1_00250010_53","健康體適能","陳志一",0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,"CH","2020-05-12 23:39:13"
"107-1_00250010_54","健康體適能","陳志一",0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,"CH","2020-05-12 23:39:13"
