"text_code",category_id,"term",weight,frequency,score,"language","create_time"
"107-1_00250010_31",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_31",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_31",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_33",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_33",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_33",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_34",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_34",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_34",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_36",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_36",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_36",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_42",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_42",6,"水",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_42",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_42",11,"水",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_42",12,"水",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_44",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_44",6,"水",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_44",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_44",11,"水",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_44",12,"水",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",1,"生活品質",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",2,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",8,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",9,"生活品質",3.0,1,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",10,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_45",16,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",1,"生活品質",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",2,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",8,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",9,"生活品質",3.0,1,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",10,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_46",16,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_53",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_53",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_54",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_54",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_67",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_67",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_67",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_68",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_68",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_68",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_71",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_71",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
